Name,Club,Position,Overall,Predicted Overall
Thiago Mendes,Olympique Lyonnais,CDM,77,76.6499412154552
M. Halstenberg,RB Leipzig,CB,78,77.92226827561939
P. van Aanholt,Galatasaray SK,LB,76,75.89975026568223
F. GorriarÃ¡n,Santos Laguna,CM,77,77.08948607322208
S. Schwab,PAOK,CM,75,75.06520363766433
Marquinhos,Paris Saint-Germain,CB,87,86.90021307274998
21Â S. SessÃ¨gnon,GenÃ§lerbirliÄi SK,RW,74,73.94053631703007
R. Gravenberch,Ajax,CAM,78,78.1001239442987
Y. Belhanda,Adana Demirspor,CAM,74,74.16169173006305
19Â Y. TourÃ©,Olympiacos CFP,CM,80,80.10029160792789
Muniain,Athletic Club de Bilbao,CAM,83,83.7062350904444
RubÃ©n PeÃ±a,Villarreal CF,RB,79,78.77342658656637
M. van Ginkel,PSV,CM,76,75.28773869811215
E. Lamela,Sevilla FC,CAM,78,77.96000820890994
J. Obi,US Salernitana 1919,CM,72,72.13406151757911
M. Dahoud,Borussia Dortmund,CM,79,78.98814732622468
L. RodrÃ­guez,Gimnasia y Esgrima La Plata,CAM,79,79.10006170887233
Iago Aspas,RC Celta de Vigo,CF,84,83.63201951573183
A. Dzagoev,PFC CSKA Moscow,CM,76,75.9001879077847
L. Romero,Club AtlÃ©tico Independiente,CDM,76,75.89988778994535
Antunes,FC PaÃ§os de Ferreira,LB,75,75.1001972234063
A. Westwood,Burnley,CDM,78,77.77748447754773
19Â D. Kombarov,Spartak Moskva,CAM,72,72.90407546705698
A. Christiansen,MalmÃ¶ FF,CM,75,75.01616739628685
Sergi Roberto,FC Barcelona,RB,81,80.89975466034946
E. ViÅ¡Äa,Ä°stanbul BaÅakÅehir FK,RW,81,81.099787909418
A. KrÃ¡l,West Ham United,CDM,75,76.19055580791158
J. Svensson,Adana Demirspor,RB,78,77.59068761519953
E. Vecchio,Rosario Central,CAM,76,76.09999123749299
Pedro Porro,Sporting CP,RWB,80,79.14466656675202
S. AgÃ¼ero,FC Barcelona,CF,87,86.89987126061402
18Â JoÃ£ozinho,FC Krasnodar,CAM,78,77.87596324708854
Welington Dano,Clube AtlÃ©tico Mineiro,LB,81,77.34449239924267
N. Lodeiro,Seattle Sounders FC,CAM,80,80.10015707590688
Azpilicueta,Chelsea,CB,83,83.0998761665481
21Â S. Luna,AC Milan,RB,78,78.03383597971798
19Â B. Natcho,Olympiacos CFP,CM,77,76.82746838274126
Y. Atal,OGC Nice,RW,76,76.55768202553654
M. Lemina,OGC Nice,CDM,76,75.20318587721158
Clinton Mata,Club Brugge KV,RB,78,77.51162632377248
Ricardo Esgaio,Sporting CP,RWB,78,77.1770809150029
D. Criscito,Genoa,CB,76,76.25721811650399
12Â G. Zambrotta,AC Milan,CM,76,75.96991546197377
Rafael,Ä°stanbul BaÅakÅehir FK,RB,76,75.89454321261192
21Â Ibai GÃ³mez,Athletic Club de Bilbao,RW,78,77.6828490934999
16Â L. Osman,Everton,CAM,75,75.41260829158273
A. SÃ¡nchez,Inter,CF,80,80.09967942565486
R. Freuler,Atalanta,CM,80,79.12028260406703
C. Mayada,Club Libertad,RB,74,73.7993403880916
A. MaruÅ¡iÄ,Lazio,RB,79,78.8996565200598
L. Miranda,Racing Club,CM,76,75.54966896390395
C. Immobile,Lazio,CF,87,86.89985664403807
Pedraza,Villarreal CF,LB,77,77.10027838628511
21Â M. NÃ©rez,AC Milan,LB,80,79.90026976929141
FransÃ©rgio,FC Girondins de Bordeaux,CM,78,78.05207035391459
JoÃ£o FÃ©lix,AtlÃ©tico de Madrid,CAM,83,83.10021313071051
13Â P. Scholes,Manchester United,CAM,80,79.90005062938123
J. Roussillon,VfL Wolfsburg,LB,77,77.08200199600418
N. KeÃ¯ta,Liverpool,CAM,80,79.95059238692933
R. Lukaku,Chelsea,CF,88,87.899703149172
C. McGregor,Celtic,CDM,76,75.9001360777808
E. BuendÃ­a,Aston Villa,CAM,79,79.91296551221272
P. Capelle,Angers SCO,RW,75,75.10022769524362
19Â C. SÃ¡nchez,CF Monterrey ,RW,76,76.09969968424518
A. Romero,San Lorenzo de Almagro,CF,77,76.90025997164437
21Â A. Adnan,AC Milan,LB,75,74.80226901699262
K. Kampl,RB Leipzig,CM,81,80.89974314904838
Ismaily,Shakhtar Donetsk,LB,80,80.09978057485141
21Â V. Ayala,Gimnasia y Esgrima La Plata,CDM,73,72.95882404186541
Joan JordÃ¡n,Sevilla FC,CM,80,78.79702538385888
Gabriel Jesus,Manchester City,CF,83,83.74935342589207
21Â J. Sildero,AC Milan,CAM,80,79.89968862572505
Pablo Fornals,West Ham United,CM,79,79.1208906105399
AndrÃ© Silva,RB Leipzig,CF,84,83.90025427183451
Y. Zhirkov,AC Milan,LB,76,75.93214932545429
R. Falk,F.C. KÃ¸benhavn,CAM,75,75.13709147324433
S. Serdar,Hertha BSC,CM,76,77.14508535507373
Isco,Real Madrid CF,CAM,82,81.82162322105916
P. Foden,Manchester City,CAM,84,84.19721552290227
Rafael Carioca,Tigres U.A.N.L.,CDM,79,79.03630681403794
A. GÃ³mez,Sevilla FC,CAM,85,85.10002698066069
21Â L. Piszczek,Borussia Dortmund,RB,77,77.10012183852088
X. Schlager,VfL Wolfsburg,CDM,80,79.04412957263541
20Â L. Baines,Everton,LB,75,74.9002764481504
M. Hinteregger,Eintracht Frankfurt,CB,80,79.70900182661457
M. Sissoko,Watford,CDM,78,77.75705999194597
B. Chilwell,Chelsea,LWB,82,82.10040555212758
